crypto_name,price_usd,market_cap,volume_24h,fetched_at
solana,87.54,51068985504.72051,5465103281.171458,2026-08-20T09:21:59.029582+00:00
bitcoin,72164,1449071364033.6516,63171444426.521,2026-08-20T10:17:42.534012+00:00
ethereum,2286.75,276217578584.02826,36086117552.53514,2026-08-20T10:17:42.534012+00:00
dogecoin,0.077079,11995893587.695377,1102134256.1773617,2026-08-20T10:17:42.534012+00:00
cardano,0.190987,7167593889.80933,587861384.0379145,2026-08-20T10:17:42.534012+00:00
solana,87.5,51032624626.35094,5592246285.664814,2026-08-20T10:17:42.534012+00:00
bitcoin,71861,1442347806411.846,64497690623.89778,2026-08-20T11:15:33.985265+00:00
ethereum,2285.45,275856512805.6221,36419357832.15883,2026-08-20T11:15:33.985265+00:00
dogecoin,0.077045,11987514605.170626,1137320148.564472,2026-08-20T11:15:33.985265+00:00
cardano,0.190336,7135212979.729301,608863501.5800495,2026-08-20T11:15:33.985265+00:00
solana,87.07,50778475462.57351,5643224431.655835,2026-08-20T11:15:33.985265+00:00
bitcoin,71740,1439210219005.8594,66034796835.296234,2026-08-20T12:21:44.312783+00:00
ethereum,2274.2,274382068126.64108,37607891693.33943,2026-08-20T12:21:44.312783+00:00
dogecoin,0.076794,11942796104.644524,1159032373.8981652,2026-08-20T12:21:44.312783+00:00
cardano,0.191256,7166997503.007551,646055564.9048622,2026-08-20T12:21:44.312783+00:00
solana,86.75,50563669688.12717,5788841027.398711,2026-08-20T12:21:44.312783+00:00
bitcoin,71541,1435273487640.2507,66499841621.46166,2026-08-20T13:37:12.629079+00:00
ethereum,2273.05,274090186669.03564,37759923199.16368,2026-08-20T13:37:12.629079+00:00
dogecoin,0.07726,12000670619.782173,1195708002.7641385,2026-08-20T13:37:12.629079+00:00
cardano,0.192178,7194117893.179251,650133788.2865869,2026-08-20T13:37:12.629079+00:00
solana,86.6,50446169530.45416,5670098720.3971615,2026-08-20T13:37:12.629079+00:00
bitcoin,71536,1436170216383.0078,66042909976.00014,2026-08-20T14:24:05.413698+00:00
ethereum,2277.37,274879112090.25494,37906321264.82764,2026-08-20T14:24:05.413698+00:00
dogecoin,0.077842,12110346919.96594,1205096064.3389273,2026-08-20T14:24:05.413698+00:00
cardano,0.195392,7329529508.181685,684595429.7076744,2026-08-20T14:24:05.413698+00:00
solana,86.37,50359253018.39076,5685505476.131321,2026-08-20T14:24:05.413698+00:00
bitcoin,72218,1450353855497.1445,64271438245.56941,2026-08-20T15:22:39.125381+00:00
ethereum,2305.31,278162526339.5986,35789345445.345055,2026-08-20T15:22:39.125381+00:00
dogecoin,0.079381,12352125040.44997,1315314808.9718866,2026-08-20T15:22:39.125381+00:00
cardano,0.196747,7401597350.131656,686865155.5178639,2026-08-20T15:22:39.125381+00:00
solana,86.99,50739417345.054436,5183769047.219258,2026-08-20T15:22:39.125381+00:00
bitcoin,72274,1450211475509.784,58556450788.40543,2026-08-20T16:20:25.667929+00:00
ethereum,2319.4,279695090647.5352,33103318739.34263,2026-08-20T16:20:25.667929+00:00
dogecoin,0.080016,12435595697.720789,1252160930.487837,2026-08-20T16:20:25.667929+00:00
cardano,0.196839,7371854879.903156,646912093.8362525,2026-08-20T16:20:25.667929+00:00
solana,87.04,50728466441.30741,4852437543.869793,2026-08-20T16:20:25.667929+00:00
bitcoin,72627,1457837437678.41,58293459119.291214,2026-08-20T17:18:03.308717+00:00
ethereum,2336.65,281860680198.71277,33316734232.914803,2026-08-20T17:18:03.308717+00:00
dogecoin,0.083093,12900534798.877735,1398008270.0656087,2026-08-20T17:18:03.308717+00:00
cardano,0.200043,7488913177.963538,657366106.9148632,2026-08-20T17:18:03.308717+00:00
solana,87.33,50908403622.7125,4885909124.454815,2026-08-20T17:18:03.308717+00:00
bitcoin,72585,1456035472048.0378,59489330449.074745,2026-08-20T18:20:20.801081+00:00
ethereum,2327.11,280584350148.39795,33222708326.14489,2026-08-20T18:20:20.801081+00:00
dogecoin,0.081557,12684209694.53965,1431732603.8743634,2026-08-20T18:20:20.801081+00:00
cardano,0.198868,7444759828.7609415,694907151.8689915,2026-08-20T18:20:20.801081+00:00
solana,87.02,50679690890.30675,4901895547.800382,2026-08-20T18:20:20.801081+00:00
bitcoin,72521,1455377575949.5046,59673659838.52462,2026-08-20T19:22:08.903688+00:00
ethereum,2324.88,280550846305.17596,33141469966.68397,2026-08-20T19:22:08.903688+00:00
dogecoin,0.080027,12444864483.001587,1443806516.0504923,2026-08-20T19:22:08.903688+00:00
cardano,0.194588,7293028547.679793,694999814.381096,2026-08-20T19:22:08.903688+00:00
solana,87.26,50855247850.07129,4867342625.70567,2026-08-20T19:22:08.903688+00:00
bitcoin,72666,1458598472944.3218,59642250388.52069,2026-08-20T20:15:44.791861+00:00
ethereum,2320.17,280001970780.9705,32975803619.261543,2026-08-20T20:15:44.791861+00:00
dogecoin,0.07975,12406979203.213764,1452422811.8164754,2026-08-20T20:15:44.791861+00:00
cardano,0.195822,7340565258.866988,705662231.3547174,2026-08-20T20:15:44.791861+00:00
solana,87.35,50923986412.3086,4884520182.885763,2026-08-20T20:15:44.791861+00:00
bitcoin,72736,1458599514270.5671,57567253212.73226,2026-08-20T21:16:57.825392+00:00
ethereum,2321.96,280142031521.4224,28739151028.83752,2026-08-20T21:16:57.825392+00:00
dogecoin,0.080307,12480418805.461498,1429986226.6242678,2026-08-20T21:16:57.825392+00:00
cardano,0.198122,7426820924.685549,696404726.2629002,2026-08-20T21:16:57.825392+00:00
solana,87.73,51130829278.47927,4490914551.209985,2026-08-20T21:16:57.825392+00:00
bitcoin,72620,1457414125898.5005,55141021892.54893,2026-08-20T22:14:36.985152+00:00
ethereum,2313.91,279214982134.0621,26386469582.45188,2026-08-20T22:14:36.985152+00:00
dogecoin,0.079623,12386749597.827423,1307192070.6274083,2026-08-20T22:14:36.985152+00:00
cardano,0.196269,7356757889.49667,630294465.2442623,2026-08-20T22:14:36.985152+00:00
solana,87.39,50941611515.681984,4209098281.285628,2026-08-20T22:14:36.985152+00:00
bitcoin,72847,1461960427073.2434,54200958965.541466,2026-08-20T23:14:32.810022+00:00
ethereum,2319.11,279854819035.64734,25318614036.384563,2026-08-20T23:14:32.810022+00:00
dogecoin,0.079675,12394796020.37741,1303732505.6409404,2026-08-20T23:14:32.810022+00:00
cardano,0.196718,7373485278.570283,641705989.4153254,2026-08-20T23:14:32.810022+00:00
solana,87.41,50955306019.74294,4053890088.09425,2026-08-20T23:14:32.810022+00:00
bitcoin,73810,1481822591437.0728,54949006295.80182,2026-08-21T00:34:39.551662+00:00
ethereum,2344.4,283013758943.38165,25305005253.13429,2026-08-21T00:34:39.551662+00:00
dogecoin,0.081211,12634656805.174698,1396266664.3024383,2026-08-21T00:34:39.551662+00:00
cardano,0.200198,7511669082.861843,675537513.4019943,2026-08-21T00:34:39.551662+00:00
solana,88.41,51568687857.316864,4178329413.6304197,2026-08-21T00:34:39.551662+00:00
bitcoin,74784,1500713355905.8232,58901311892.22926,2026-08-21T02:16:01.130214+00:00
ethereum,2350.46,283614481968.07446,26116448886.41519,2026-08-21T02:16:01.130214+00:00
dogecoin,0.082062,12765367993.284592,1432700713.5764585,2026-08-21T02:16:01.130214+00:00
cardano,0.207446,7782337573.333162,721161190.3312877,2026-08-21T02:16:01.130214+00:00
solana,88.98,51872941503.90823,4438507450.17299,2026-08-21T02:16:01.130214+00:00
bitcoin,74484,1494080749809.2722,59490593757.06216,2026-08-21T03:40:07.078939+00:00
ethereum,2347.18,283129961996.1777,25150266053.974,2026-08-21T03:40:07.078939+00:00
dogecoin,0.082128,12767295603.356796,1443461983.4473023,2026-08-21T03:40:07.078939+00:00
cardano,0.206155,7721611533.608808,747174911.8450025,2026-08-21T03:40:07.078939+00:00
solana,89.17,51967369207.816986,4696096092.052441,2026-08-21T03:40:07.078939+00:00
bitcoin,74803,1502310491565.1907,57823620529.99394,2026-08-21T04:27:04.743931+00:00
ethereum,2345.53,283242056154.0925,24953544238.757328,2026-08-21T04:27:04.743931+00:00
dogecoin,0.082094,12798817968.86529,1457517998.5846658,2026-08-21T04:27:04.743931+00:00
cardano,0.207494,7788876457.591793,775790763.566908,2026-08-21T04:27:04.743931+00:00
solana,89.05,51972065141.55256,4763272390.95988,2026-08-21T04:27:04.743931+00:00
bitcoin,75406,1513616968814.54,60617610273.67643,2026-08-21T05:22:10.317520+00:00
ethereum,2360.13,284682397028.32764,25627878795.556705,2026-08-21T05:22:10.317520+00:00
dogecoin,0.082625,12839626787.50993,1455596045.8880837,2026-08-21T05:22:10.317520+00:00
cardano,0.208309,7800358220.659081,784966506.4374123,2026-08-21T05:22:10.317520+00:00
solana,89.9,52369437495.96011,4873549650.625911,2026-08-21T05:22:10.317520+00:00
bitcoin,75199,1510235832900.295,60093894929.02103,2026-08-21T06:24:19.348607+00:00
ethereum,2359.05,284845104938.54236,25688625062.526485,2026-08-21T06:24:19.348607+00:00
dogecoin,0.083573,13014677628.658354,1498454751.0051575,2026-08-21T06:24:19.348607+00:00
cardano,0.208746,7835205674.724813,813525892.830863,2026-08-21T06:24:19.348607+00:00
solana,90.26,52661150209.73965,5092572160.261078,2026-08-21T06:24:19.348607+00:00
bitcoin,76375,1533661674973.458,63054571733.19436,2026-08-21T07:33:25.364689+00:00
ethereum,2383.47,287650910329.2906,26253755670.3638,2026-08-21T07:33:25.364689+00:00
dogecoin,0.084048,13070101810.08137,1534503834.0493493,2026-08-21T07:33:25.364689+00:00
cardano,0.210627,7889511286.366925,846048795.6903759,2026-08-21T07:33:25.364689+00:00
solana,90.15,52489570034.4128,5158560768.668121,2026-08-21T07:33:25.364689+00:00
bitcoin,76985,1545651051583.764,63289983991.30411,2026-08-21T08:25:01.746241+00:00
ethereum,2384.02,287839990683.8429,26281914224.806667,2026-08-21T08:25:01.746241+00:00
dogecoin,0.084144,13096287613.900593,1540607939.5285017,2026-08-21T08:25:01.746241+00:00
cardano,0.212051,7949082198.755351,832759054.0013598,2026-08-21T08:25:01.746241+00:00
solana,91.18,53120185141.663605,5216066891.7870035,2026-08-21T08:25:01.746241+00:00
bitcoin,77607,1559126470521.476,66922966979.36252,2026-08-21T09:24:11.390676+00:00
ethereum,2387.61,288478460425.5881,28276287606.703705,2026-08-21T09:24:11.390676+00:00
dogecoin,0.08306,12934725694.62638,1540574452.0523398,2026-08-21T09:24:11.390676+00:00
cardano,0.209589,7867321355.318094,900090596.4873933,2026-08-21T09:24:11.390676+00:00
solana,90.98,53178090981.84389,5611596251.729105,2026-08-21T09:24:11.390676+00:00
bitcoin,78143,1566422847784.4604,66931995035.63933,2026-08-21T10:18:11.146259+00:00
ethereum,2405.05,289857240575.511,28611682262.378716,2026-08-21T10:18:11.146259+00:00
dogecoin,0.084376,13127431518.68582,1688862428.791719,2026-08-21T10:18:11.146259+00:00
cardano,0.214111,8026187471.78891,936976784.1861243,2026-08-21T10:18:11.146259+00:00
solana,91.47,53237450166.79485,5868628599.810377,2026-08-21T10:18:11.146259+00:00
bitcoin,77457,1555160626776.087,67010359578.2132,2026-08-21T11:15:24.218976+00:00
ethereum,2381.92,287589158243.8711,28276433524.962006,2026-08-21T11:15:24.218976+00:00
dogecoin,0.084042,13057524891.09815,1668532287.5550306,2026-08-21T11:15:24.218976+00:00
cardano,0.212999,7973955929.269753,930907459.9853318,2026-08-21T11:15:24.218976+00:00
solana,90.99,52965767903.15681,5914291091.194796,2026-08-21T11:15:24.218976+00:00
bitcoin,76801,1541880199798.3044,67850911924.21259,2026-08-21T12:21:47.645822+00:00
ethereum,2374.88,286640107913.1707,27292530306.214024,2026-08-21T12:21:47.645822+00:00
dogecoin,0.083363,12966650081.997484,1647657066.1831381,2026-08-21T12:21:47.645822+00:00
cardano,0.21398,8035034768.38002,946561303.7495939,2026-08-21T12:21:47.645822+00:00
solana,90.33,52691577139.83231,5855851234.516142,2026-08-21T12:21:47.645822+00:00
bitcoin,76544,1538150097491.1714,67931782228.3928,2026-08-21T13:36:39.697956+00:00
ethereum,2373.54,286703169995.95435,27551094056.30437,2026-08-21T13:36:39.697956+00:00
dogecoin,0.082902,12903381404.197836,1595997250.0342803,2026-08-21T13:36:39.697956+00:00
cardano,0.213353,8004494670.748767,932192180.0628763,2026-08-21T13:36:39.697956+00:00
solana,90.07,52579787150.04284,5800055486.557187,2026-08-21T13:36:39.697956+00:00
bitcoin,76622,1536986566440.8665,68631522551.435425,2026-08-21T14:22:59.582767+00:00
ethereum,2370.46,286041138627.8476,27657660113.983574,2026-08-21T14:22:59.582767+00:00
dogecoin,0.083036,12918230840.34045,1674238247.15059,2026-08-21T14:22:59.582767+00:00
cardano,0.213852,8012973727.726671,950728890.6231766,2026-08-21T14:22:59.582767+00:00
solana,90.8,52950636567.085106,5923772027.473531,2026-08-21T14:22:59.582767+00:00
bitcoin,77570,1557409314811.1284,69012930146.91084,2026-08-21T15:22:11.882915+00:00
ethereum,2399.88,289616347164.0228,27664140952.546474,2026-08-21T15:22:11.882915+00:00
dogecoin,0.084395,13125610811.754381,1607640559.112958,2026-08-21T15:22:11.882915+00:00
cardano,0.217654,8173847348.999263,972449194.071283,2026-08-21T15:22:11.882915+00:00
solana,91.66,53427338010.99568,6030382289.571031,2026-08-21T15:22:11.882915+00:00
bitcoin,76972,1543840815879.725,67780391817.533195,2026-08-21T16:18:36.056240+00:00
ethereum,2389.44,288095251821.5542,26965723805.696056,2026-08-21T16:18:36.056240+00:00
dogecoin,0.08363,13009452801.562317,1543698036.487438,2026-08-21T16:18:36.056240+00:00
cardano,0.217925,8164828320.099047,994528548.3946028,2026-08-21T16:18:36.056240+00:00
solana,90.98,53022223037.70029,5944938987.308014,2026-08-21T16:18:36.056240+00:00
bitcoin,77438,1555327891560.254,67908624448.33011,2026-08-21T17:17:51.634679+00:00
ethereum,2412.08,291275271136.0369,26254538673.610474,2026-08-21T17:17:51.634679+00:00
dogecoin,0.084639,13189208592.971325,1458161961.514306,2026-08-21T17:17:51.634679+00:00
cardano,0.218694,8223235680.372064,987136690.7247717,2026-08-21T17:17:51.634679+00:00
solana,91.56,53447347736.33994,5930578372.445655,2026-08-21T17:17:51.634679+00:00
bitcoin,77280,1551869881625.867,67464552271.24236,2026-08-21T18:19:35.729504+00:00
ethereum,2423.18,292539872898.39453,26468186716.83219,2026-08-21T18:19:35.729504+00:00
dogecoin,0.084632,13167706047.784264,1436548505.2401025,2026-08-21T18:19:35.729504+00:00
cardano,0.220794,8276704063.51433,974402322.5922177,2026-08-21T18:19:35.729504+00:00
solana,91.69,53467806369.35429,5908613117.165577,2026-08-21T18:19:35.729504+00:00
bitcoin,77047,1546586298877.5857,67684460699.831955,2026-08-21T19:18:06.595614+00:00
ethereum,2410.94,291000907412.72955,26223378508.82728,2026-08-21T19:18:06.595614+00:00
dogecoin,0.084242,13112024255.56169,1412748375.916858,2026-08-21T19:18:06.595614+00:00
cardano,0.216359,8118308460.16543,968659351.4554796,2026-08-21T19:18:06.595614+00:00
solana,91.16,53168793227.305145,5906097120.960412,2026-08-21T19:18:06.595614+00:00
bitcoin,77215,1549068920962.4346,68243640463.39331,2026-08-21T20:12:17.610099+00:00
ethereum,2427.07,292936515778.66486,26230086007.667374,2026-08-21T20:12:17.610099+00:00
dogecoin,0.08489,13204812386.530918,1377196456.9753835,2026-08-21T20:12:17.610099+00:00
cardano,0.218481,8187374749.540797,967002724.3158463,2026-08-21T20:12:17.610099+00:00
solana,91.22,53210139375.4749,5934605046.555757,2026-08-21T20:12:17.610099+00:00
bitcoin,77562,1554617890531.4456,68340484134.63898,2026-08-21T21:12:49.253879+00:00
ethereum,2440.8,294142984915.07,26669685324.883183,2026-08-21T21:12:49.253879+00:00
dogecoin,0.087578,13593748350.948126,1533777909.6150339,2026-08-21T21:12:49.253879+00:00
cardano,0.219296,8197270177.3418,977428361.5447936,2026-08-21T21:12:49.253879+00:00
solana,91.92,53532634327.436264,6023233026.448727,2026-08-21T21:12:49.253879+00:00
bitcoin,78664,1577743309757.936,70439669498.83025,2026-08-21T22:11:17.508129+00:00
ethereum,2539.01,305864060492.2651,29734155041.871696,2026-08-21T22:11:17.508129+00:00
dogecoin,0.092793,14439852485.846657,1696784381.5635815,2026-08-21T22:11:17.508129+00:00
cardano,0.227613,8523996137.231872,1045771804.6182632,2026-08-21T22:11:17.508129+00:00
solana,94.24,54957968341.67767,6425567389.938755,2026-08-21T22:11:17.508129+00:00
bitcoin,78572,1576546680327.0813,71837743292.37611,2026-08-21T23:12:54.976313+00:00
ethereum,2525.02,304645774426.2345,30766100120.204823,2026-08-21T23:12:54.976313+00:00
dogecoin,0.093826,14588059416.001747,1916409868.6097891,2026-08-21T23:12:54.976313+00:00
cardano,0.23035,8677389435.104845,1111807270.523743,2026-08-21T23:12:54.976313+00:00
solana,94.18,54929520249.82748,6644477682.183519,2026-08-21T23:12:54.976313+00:00
bitcoin,77977,1565019196994.2969,70211497291.1332,2026-08-22T00:32:18.596845+00:00
ethereum,2509.3,302746404977.355,31020643477.377373,2026-08-22T00:32:18.596845+00:00
dogecoin,0.091507,14236590854.415094,1955093994.6088257,2026-08-22T00:32:18.596845+00:00
cardano,0.229366,8588669308.39771,1135252500.1151795,2026-08-22T00:32:18.596845+00:00
solana,93.75,54689731172.8327,6706779369.442528,2026-08-22T00:32:18.596845+00:00
bitcoin,78000,1564711980194.1318,66572096979.95881,2026-08-22T02:07:21.710851+00:00
ethereum,2510.9,302860437620.0057,30353065632.481846,2026-08-22T02:07:21.710851+00:00
dogecoin,0.091932,14295965352.852907,1949148354.8327565,2026-08-22T02:07:21.710851+00:00
cardano,0.232044,8694208480.06862,1112802206.2333946,2026-08-22T02:07:21.710851+00:00
solana,93.97,54794569092.37681,6490932383.967065,2026-08-22T02:07:21.710851+00:00
